id,order_id,product_id,sales,quantity,discount,profit,region,category
CA-2017-152156-0,CA-2017-152156,FUR-BO-10001798,261.96,2,0.00,41.91,South,Furniture
CA-2017-152156-1,CA-2017-152156,FUR-CH-10000454,731.94,3,0.00,219.58,South,Furniture
CA-2017-138688-0,CA-2017-138688,OFF-LA-10000240,14.62,2,0.00,6.87,West,Office Supplies
US-2016-108966-0,US-2016-108966,FUR-TA-10000577,957.58,5,0.45,-383.03,South,Furniture
US-2016-108966-1,US-2016-108966,OFF-ST-10000760,22.37,2,0.20,2.52,South,Office Supplies
CA-2015-115812-0,CA-2015-115812,FUR-FU-10001487,48.86,7,0.00,14.17,West,Furniture
CA-2015-115812-1,CA-2015-115812,OFF-AR-10002833,7.28,4,0.00,1.97,West,Office Supplies
CA-2015-115812-2,CA-2015-115812,TEC-PH-10002275,907.15,6,0.20,90.72,West,Technology
CA-2015-115812-3,CA-2015-115812,OFF-BI-10003910,18.50,3,0.20,5.78,West,Office Supplies
CA-2015-115812-4,CA-2015-115812,OFF-AP-10002892,114.90,5,0.00,34.47,West,Office Supplies
CA-2015-115812-5,CA-2015-115812,FUR-TA-10001539,1706.18,9,0.20,85.31,West,Furniture
CA-2015-115812-6,CA-2015-115812,TEC-PH-10002033,911.42,4,0.20,68.36,West,Technology
CA-2018-114412-0,CA-2018-114412,OFF-PA-10002365,15.55,3,0.20,5.44,South,Office Supplies
CA-2017-161389-0,CA-2017-161389,OFF-BI-10003656,407.98,3,0.20,132.59,West,Office Supplies
US-2016-118983-0,US-2016-118983,OFF-AP-10002311,68.81,5,0.80,-123.86,Central,Office Supplies
US-2016-118983-1,US-2016-118983,OFF-BI-10000756,2.54,3,0.80,-3.82,Central,Office Supplies
CA-2015-105893-0,CA-2015-105893,OFF-ST-10004186,665.88,6,0.00,13.32,Central,Office Supplies
CA-2015-167164-0,CA-2015-167164,OFF-ST-10000107,55.50,2,0.00,9.99,West,Office Supplies
CA-2015-143336-0,CA-2015-143336,OFF-AR-10003056,8.56,2,0.00,2.48,West,Office Supplies
CA-2015-143336-1,CA-2015-143336,TEC-PH-10001949,213.48,3,0.20,16.01,West,Technology
CA-2015-143336-2,CA-2015-143336,OFF-BI-10002215,22.72,4,0.20,7.38,West,Office Supplies
CA-2017-137330-0,CA-2017-137330,OFF-AR-10000246,19.46,7,0.00,5.06,Central,Office Supplies
CA-2017-137330-1,CA-2017-137330,OFF-AP-10001492,60.34,7,0.00,15.69,Central,Office Supplies
US-2018-156909-0,US-2018-156909,FUR-CH-10002774,71.37,2,0.30,-1.02,East,Furniture
CA-2016-106320-0,CA-2016-106320,FUR-TA-10000577,1044.63,3,0.00,240.26,West,Furniture
CA-2017-121755-0,CA-2017-121755,OFF-BI-10001634,11.65,2,0.20,4.22,West,Office Supplies
CA-2017-121755-1,CA-2017-121755,TEC-AC-10003027,90.57,3,0.00,11.77,West,Technology
US-2016-150630-0,US-2016-150630,FUR-BO-10004834,3083.43,7,0.50,-1665.05,East,Furniture
US-2016-150630-1,US-2016-150630,OFF-BI-10000474,9.62,2,0.70,-7.05,East,Office Supplies
US-2016-150630-2,US-2016-150630,FUR-FU-10004848,124.20,3,0.20,15.53,East,Furniture
US-2016-150630-3,US-2016-150630,OFF-EN-10001509,3.26,2,0.20,1.10,East,Office Supplies
US-2016-150630-4,US-2016-150630,OFF-AR-10004042,86.30,6,0.20,9.71,East,Office Supplies
US-2016-150630-5,US-2016-150630,OFF-BI-10001525,6.86,6,0.70,-5.71,East,Office Supplies
US-2016-150630-6,US-2016-150630,OFF-AR-10001683,15.76,2,0.20,3.55,East,Office Supplies
CA-2018-107727-0,CA-2018-107727,OFF-PA-10000249,29.47,3,0.20,9.95,Central,Office Supplies
CA-2017-117590-0,CA-2017-117590,TEC-PH-10004977,1097.54,7,0.20,123.47,Central,Technology
CA-2017-117590-1,CA-2017-117590,FUR-FU-10003664,190.92,5,0.60,-147.96,Central,Furniture
